scenario,light_mode,n_seeds,avg_travel_mean,avg_travel_ci95,avg_wait_mean,avg_wait_ci95,avg_reservation_wait_mean,avg_reservation_wait_ci95,avg_utility_mean,avg_utility_ci95
VS-11,adaptive,5,33.3333333333321,5.335559827785147,18.630784313725556,5.187770256941148,15.530980392156906,3.3958354431434765,0.7331411250808507,0.03167673177333359
VS-11,adaptive,10,35.02970588235162,3.5171176060406757,20.2903921568628,3.4994338790556063,16.923039215686327,2.22871362797382,0.7295777747384864,0.016606949528155213
VS-11,adaptive,15,34.51019607843007,2.2825743357224204,19.700718954248426,2.270871112228478,16.56516339869286,1.4446150856933149,0.7317778841641489,0.011000097633349644
VS-11,adaptive,20,34.08436274509676,1.7727193681133626,19.280245098039277,1.747271472738116,16.326666666666718,1.1441963823126848,0.7341050436465376,0.00854832736551271
VS-11,adaptive,25,34.37250980392027,1.5579292461485243,19.58196078431379,1.5050387585859042,16.5359215686275,0.9925839099412752,0.7318673107639061,0.007905409463575012
VS-11,adaptive,30,34.77049019607712,1.4214743558498066,19.9895424836602,1.3609870671977864,16.864248366013125,0.9135467128134067,0.7306691957873201,0.006778974949333418
VS-11,fixed,5,35.97705882352806,9.413232324746152,21.097843137254962,7.733409967086311,17.648039215686328,5.44478756344372,0.7212800149082075,0.02370250286565126
VS-11,fixed,10,34.461764705881095,4.131361186344161,19.76441176470594,3.2930078326869054,16.73696078431377,2.3550618110885955,0.7273517840097885,0.010337834145161052
VS-11,fixed,15,34.055359477122934,3.074532470167477,19.557450980392215,2.44139564557744,16.614836601307232,1.7841599239362873,0.7268613637221063,0.008451105148848373
VS-11,fixed,20,34.15274509803796,2.3198759181169653,19.571225490196138,1.854315166409207,16.607205882352982,1.3432238923527375,0.7277903889832584,0.006619855684827272
VS-11,fixed,25,34.28180392156737,1.9010840421923167,19.729764705882413,1.532109402470213,16.660470588235338,1.095710664635689,0.7264552093114098,0.005808129430149242
VS-11,fixed,30,34.26977124182881,1.5913138529165274,19.685130718954312,1.2783608404913493,16.609509803921615,0.9206798474215948,0.7258437636000628,0.004983103542689183
VS-12,adaptive,5,31.23844155844065,5.991116517417221,16.81142857142863,5.705431778494989,14.211428571428607,3.5019572350425032,0.7475768406091786,0.033400511632947445
