scenario,label,light_mode,seed,avg_travel,min_travel,max_travel,avg_wait,min_wait,max_wait,avg_reservation_wait,min_reservation_wait,max_reservation_wait,avg_utility,min_utility,max_utility,collisions,completed_trips,vehicles_spawned
VS-14,Mixed Emergency Traffic,fixed,1014,26.012727272727027,3.2999999999998124,161.79999999999424,12.678181818181812,0.0,86.09999999999938,11.696363636363643,0.0,75.69999999999997,0.7872564334062301,0.5353333333333347,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1015,28.936363636363293,5.500000000000078,132.09999999999349,15.078181818181836,0.0,79.09999999999978,14.076363636363656,0.0,72.90000000000013,0.7669823401744348,0.6106854838709662,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1016,30.167272727272277,2.899999999999835,88.29999999999757,15.803636363636418,0.0,44.90000000000037,13.760000000000039,0.0,44.90000000000037,0.7667054019157173,0.5104115226337442,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1017,28.343636363635994,4.800000000000068,94.19999999999466,15.10545454545458,0.0,50.60000000000045,13.61818181818184,0.0,35.500000000000234,0.7638278139305998,0.6009845288326283,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1018,27.903636363636053,5.499999999999886,150.69999999999214,13.400000000000016,0.0,69.30000000000034,11.901818181818195,0.0,69.30000000000034,0.768575431023762,0.5507865168539318,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1019,27.914545454545042,2.899999999999835,106.29999999999771,15.285454545454593,0.0,57.90000000000055,13.00181818181821,0.0,57.90000000000055,0.756305681239262,0.5545319148936165,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1020,26.707272727272397,5.500000000000005,74.09999999999701,13.325454545454573,0.0,39.50000000000029,11.378181818181833,0.0,39.50000000000029,0.7697186765080236,0.48485355648535594,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1021,37.88181818181736,2.899999999999835,140.59999999999326,20.825454545454605,0.0,83.69999999999952,18.376363636363696,0.0,83.49999999999953,0.7605830603483777,0.5401428571428557,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1022,32.88363636363591,2.899999999999835,140.69999999999322,17.445454545454595,0.0,73.90000000000008,15.636363636363678,0.0,73.90000000000008,0.7629670428286336,0.6124060150375935,1.0,0,55,55
VS-14,Mixed Emergency Traffic,fixed,1023,42.361818181817355,3.2999999999998124,149.6999999999918,25.56545454545464,0.0,82.89999999999957,21.129090909090966,0.0,82.79999999999957,0.7082677276531765,0.5549209486166008,1.0,0,55,55
